CODIGOS	DESCRIPCION	Unidad_Primaria
PTEM0001	PAN DE HAMBURGUESA 85 GR 6 UND	PAQ
PTEM0002	PAN DE PERRO 63 GR 8 UND	PAQ
PTEM0003	PAN DE HAMBURGUESA MINI 30 GR 15 UND	PAQ
PTEM0004	PAN TIPO DELI 110 GR 4 UND	PAQ
PTEM0005	PAN CUADRADO PEQUEÑO 575 GR 17 UND	PAQ
PTEM0006	PAN CUADRADO GRANDE 900 GR 21 UND	PAQ
PTEM0007	PAN DULCE 30 GR 15 UND	PAQ
PTEM0009	CROSTATAS 300 GR	PAQ
PTEM0010	GALLETAS TATICAS 150 GR 1 UND	PAQ
PTEM0012	PAN DE HAMBURGUESA DE MANTEQUILLA 95 GR 6 UND	PAQ
PTEM0013	PAN DE HAMBURGUESA DE MANTEQUILLA 50 GR 6 UND	PAQ
PTEM0015	PAN DE HAMBURGUESA ESPECIAL 170 GR 2 UND WAB	PAQ
PTEM0017	PAN DE HAMBURGUESA ESPECIAL 170 GR 2 UND WAM	PAQ
PTEM0020	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND WAB A18	PAQ
PTEM0021	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND WAN A18	PAQ
PTEM0022	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND WAM A18	PAQ
PTEM0023	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND WAB A21	PAQ
PTEM0024	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND WAN A18	PAQ
PTEM0026	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND WAM A21	PAQ
PTEM0027	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND A21	PAQ
PTEM0029	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND WAN A18	PAQ
PTEM0030	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND WAM A18	PAQ
PTEM0032	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND W A18	PAQ
PTEM0033	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND AB A21	PAQ
PTEM0034	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND WAB A21	PAQ
PTEM0035	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND WAN A21	PAQ
PTEM0036	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND WAM A21	PAQ
PTEM0037	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND W A21	PAQ
PTEM0038	PAN DE HAMBURGUESA ESPECIAL 95 GR 6 UND WAM A241	PAQ
PTEM0039	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAN A21	PAQ
PTEM0043	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND A24	PAQ
PTEM0044	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAB A24	PAQ
PTEM0045	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAN A24	PAQ
PTEM0046	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAM A24	PAQ
PTEM0047	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND W A24	PAQ
PTEM0048	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND W A24	PAQ
PTEM0049	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND A24	PAQ
PTEM0050	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND WAB A24	PAQ
PTEM0056	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND WAN A24	PAQ
PTEM0057	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND AB A24	PAQ
PTEM0058	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND	PAQ
PTEM0059	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND AB	PAQ
PTEM0060	PAN DE HAMBURGUESA ESPECIAL 55 GR 6 UND	PAQ
PTEM0061	PAN DE HAMBURGUESA ESPECIAL 55 GR 6 UND AB	PAQ
PTEM0070	PAN DE PERRO 63 GR 8 UND WAB	PAQ
PTEM0071	PAN DE PERRO 63 GR 8 UND WAN	PAQ
PTEM0072	PAN DE PERRO MINI ESPECIAL 50 GR 12 UND	PAQ
PTEM0073	PAN DE PERRO JUMBO CX 95 GR 6 UND	PAQ
PTEM0074	PAN DE PERRO JUMBO ESPECIAL 85 GR 6 UND	PAQ
PTEM0075	PAN DE PERRO JUMBO ESPECIAL 95 GR 5 UND	PAQ
PTEM0078	PAN TIPO DELI ESPECIAL 110 GR 4 UND WAB	PAQ
PTEM0079	PAN TIPO DELI ESPECIAL 110 GR 4 UND WAN	PAQ
PTEM0080	PAN TIPO DELI ESPECIAL 110 GR 4 UND WAM	PAQ
PTEM0081	PAN GRANJERO ESPECIAL 75 GR 5 UND AB A19	PAQ
PTEM0082	PAN DE HAMBURGUESA TIPO BRIOCHE 120 GR 4 UND WAB A18	PAQ
PTEM0083	PAN DE HAMBURGUESA TIPO BRIOCHE 110 GR 4 UND WAB A241	PAQ
PTEM0085	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND WAN A21	PAQ
PTEM0086	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND WAB A21	PAQ
PTEM0087	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND WAM A21	PAQ
PTEM0088	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND WAN A24	PAQ
PTEM0089	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND WAB A241	PAQ
PTEM0090	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAB A24	PAQ
PTEM0092	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAM A24	PAQ
PTEM0094	PAN DE HAMBURGUESA TIPO BRIOCHE 70 GR 6 UND WAB A24	PAQ
PTEM0095	PAN DE HAMBURGUESA TIPO BRIOCHE 45 GR 12 UND WAB	PAQ
PTEM0097	PAN DE PERRO TIPO BRIOCHE 70 GR 8 UND WAP	PAQ
PTEM0098	PAN DE HAMBURGUESA BJ 120 GR 4 UND WAB A 241	PAQ
PTEM0100	PAN CUADRADO MEDIANO TIPO BRIOCHE 700 GR	PAQ
PTEM0105	PAN DE PERRO 63 GR 8 UND AB	PAQ
PTEM0122	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND WAB A24	PAQ
PTEM0130	PAN DE HAMBURGUESA TIPO BRIOCHE 65 GR 6 UND WAB A15	PAQ
PTEM0133	PAN TIPO DELI ESPECIAL 120 GR 4 UND A14 OREGANO	PAQ
PTEM0138	PONQUE DE TATA	PAQ
PTEM0152	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAM A21	PAQ
PTEM0154	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND AM A18	PAQ
PTEM0155	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND A18	PAQ
PTEM0158	PAN DE PERRO JUMBO ESPECIAL 95  GR W 5 UND	PAQ
PTEM0162	DORADITO 1 UND	UND
PTEM0168	PAN DE HAMBURGUESA ESPECIAL 190 GR 2 UND AB	PAQ
PTEM0171	PAN DE HAMBURGUESA ESPECIAL 110 GR W A21	PAQ
PTEM0176	PAN GRANJERO ESPECIAL TIPO BRIOCHE 75GR W 5 UND A19	PAQ
PTEM0025	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND WAN A21	PAQ
PTEM0119	PANETTONE GRANDE 400 GR	PAQ
PTEM0054	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND AN A24	PAQ
PTEM0103	PAN TIPO CHINO 45 GR  6 UND	PAQ
PTEM0120	MINI PANETTONE 90 GR	PAQ
